-,-,-
-1382, -582, 1645
-1991, -863, 1967
-1998, -541, 1489
-1984, 103, 1649
-1998, 555, 1798
-857, 445, 984
1243, 416, 1193
1426, 860, 592
1947, 1062, 932
1997, 1092, 875
1997, 1092, 875
1997, 382, -163
1997, -144, -94
1893, -554, -173
1786, -686, -241
1324, -201, 527
833, 225, 1147
658, 349, 970
806, 275, 624
-,-,-
493, -8, 1191
156, -1, 1083
-117, -66, 977
-117, -66, 977
-93, -62, 938
-95, -41, 1008
-66, -91, 1138
-448, -136, 1243
-908, -71, 1203
-1042, -28, 1300
-948, -12, 1597
-501, 7, 1824
-501, 7, 1824
124, 35, 1679
375, 25, 1181
489, 34, 664
638, 31, 354
638, 31, 354
801, 101, 281
950, 156, 414
1039, 176, 684
1041, 128, 853
1016, 84, 903
1016, 84, 903
967, 50, 940
855, 53, 817
753, 14, 713
-,-,-
-399, -94, 1466
-1136, -150, 1505
-1125, -58, 1342
-1369, 112, 1092
-1698, 285, 1499
-1302, 345, 1984
-764, 303, 1998
-82, 230, 1804
-82, 230, 1804
753, 189, 891
1240, 99, 257
1315, 48, 178
1301, 3, 351
1301, 3, 351
1473, -21, 606
1589, -38, 680
1557, -19, 667
1397, -16, 678
1206, 5, 745
1034, 5, 728
1034, 98, 728
868, 114, 573
-,-,-
-1475, -139, 1535
-1648, 25, 1629
-1648, 25, 1629
-1373, 262, 1928
-1155, 281, 1998
-1014, 199, 1873
-325, 296, 1187
818, 230, 499
1538, 164, 571
1314, 21, 728
1070, 61, 644
1053, 160, 654
1053, 160, 654
1203, 133, 737
1401, 79, 779
1314, 55, 671
1086, 39, 539
923, 69, 574
-,-,-
-134, -396, 1341
-883, -417, 1163
-1469, -287, 1497
-1867, -25, 1775
-1878, 223, 1998
-1657, 279, 1998
-1269, 283, 1998
-364, 262, 1799
625, 152, 1319
1264, 186, 780
1369, 160, 688
1412, 48, 608
1387, 19, 577
1387, 19, 577
1348, -47, 587
1261, -43, 665
1202, -83, 664
1165, -93, 719
1110, -18, 665
967, 1, 564
-,-,-
-184, -8, 1139
-959, -75, 797
-1203, 254, 1308
-1581, 375, 1906
-1782, 512, 1998
-1755, 580, 1998
-1522, 541, 1998
-788, 486, 1921
264, 322, 1569
1319, 248, 1308
1542, 132, 693
1542, 132, 693
1409, 100, 456
1231, -51, 52
1115, -108, 328
1192, -79, 703
1249, -60, 785
1141, 25, 702
1141, 25, 702
1111, 10, 442
1263, -82, 307
1332, -160, 229
1129, -186, 290
-,-,-
-130, -201, 1358
-837, -107, 1328
-978, 35, 1354
-903, 57, 1095
-910, 289, 1595
-1197, 401, 1998
-1242, 336, 1998
-871, 334, 1885
-293, 341, 1342
199, 219, 945
759, 49, 757
759, 49, 757
1164, -95, 1075
1301, -126, 1314
1168, -116, 1239
1022, -49, 966
1064, 7, 775
1253, -45, 730
1308, -49, 612
1308, -49, 612
1137, -52, 566
1109, -34, 566
987, -13, 595
-,-,-
-687, -315, 987
-1329, -18, 819
-1868, 103, 1491
-1679, 80, 1998
-1181, -63, 1998
-632, 64, 1998
-566, 92, 1774
-566, 92, 1774
41, 98, 1293
687, 44, 854
895, 4, 369
863, 48, 411
863, 48, 411
917, 105, 673
1016, 158, 907
1197, 170, 907
1287, 161, 689
1163, 129, 582
1163, 129, 582
894, 79, 572
718, 25, 629
491, -132, 736
-,-,-
-645, -16, 1401
-1316, 39, 1583
-1614, 107, 1728
